HOT_surface_CO2.txt																					
Hawaii Ocean Time-series surface CO2 system data product																					
Created 5 October 2009 by J.E. Dore																					
Last updated 11 December 2023 by J.E. Dore																					
"See HOT_surface_CO2_readme.pdf for explanatory material, metadata, and notes (https://hahana.soest.hawaii.edu/hot/hotco2/hotco2.html)"																					
"When using this data product please cite as adapted from: Dore, J.E., R. Lukas, D.W. Sadler, M.J. Church, and D.M. Karl.  2009.  Physical and biogeochemical modulation of ocean acidification in the central North Pacific.  Proc Natl Acad Sci USA 106:12235-12240."																					
Please direct questions or comments regarding this data product to John Dore: jdore@montana.edu																					
																					
cruise	days	date	temp	sal	phos	sil	DIC	TA	nDIC	nTA	pHmeas_25C	pHmeas_insitu	pHcalc_25C	pHcalc_insitu	pCO2calc_insitu	pCO2calc_20C	aragsatcalc_insitu	calcsatcalc_insitu	freeCO2_insitu	carbonate_insitu	notes
14	502	15-Feb-90	23.874	34.85	0.11	0.75	1951.47	2286.3	1959.9	2296.1	-999	-999	8.1064	8.1229	317.2	270.7	3.71	5.65	9.24	235.1	bc
15	534	19-Mar-90	23.237	34.842	0.13	1.29	1965.55	2303	1974.5	2313.4	-999	-999	8.1079	8.134	310.1	271.7	3.73	5.7	9.19	237.3	c
16	559	13-Apr-90	23.435	34.95	0.11	1.08	1973.17	2306.8	1976	2310.1	-999	-999	8.0998	8.1229	320.2	278.3	3.7	5.63	9.44	234.9	bc
17	585	9-May-90	23.835	34.979	0.09	1	1964.9	2297.6	1966.1	2299	-999	-999	8.0996	8.1167	324.3	277.3	3.69	5.62	9.45	234	bc
18	620	13-Jun-90	24.667	35.035	0.09	0.89	1962.93	2309.3	1961	2307	-999	-999	8.1186	8.1232	318.9	263.6	3.85	5.85	9.1	243.6	c
19	662	25-Jul-90	25.601	34.91	0.11	0.83	1948.73	2291.7	1953.8	2297.6	-999	-999	8.1177	8.1084	329.7	262.5	3.83	5.8	9.19	241	c
20	713	14-Sep-90	26.399	34.998	0.07	1.04	1966.54	2304.2	1966.7	2304.3	-999	-999	8.1061	8.085	353.6	272.8	3.8	5.74	9.67	238.3	abcghij
21	779	19-Nov-90	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	k
22	808	18-Dec-90	23.923	35.23	0.06	1.22	1979.3	2320	1966.4	2304.9	-999	-999	8.1054	8.1212	322.4	274.7	3.78	5.74	9.37	239.8	c
23	855	3-Feb-91	23.302	35.117	0.08	0.76	1971.93	2307.3	1965.4	2299.6	-999	-999	8.1006	8.1256	317.4	277.4	3.71	5.65	9.38	235.8	c
24	887	7-Mar-91	23.087	35.11	0.08	1.44	1979.25	2313.7	1973	2306.4	-999	-999	8.098	8.1263	318	280.2	3.7	5.64	9.45	235.4	c
25	921	10-Apr-91	23.433	34.935	0.09	1.31	1967.15	2300	1970.8	2304.3	-999	-999	8.1	8.1231	319.2	277.4	3.69	5.62	9.41	234.1	c
26	949	8-May-91	23.985	34.916	0.1	1.38	1965.53	2297.8	1970.3	2303.3	-999	-999	8.0995	8.1144	326.5	277.5	3.69	5.62	9.49	233.8	c
27	977	5-Jun-91	24.605	34.966	0.08	1.06	1966.15	2305	1968.1	2307.2	-999	-999	8.1083	8.1139	327.3	271.3	3.77	5.73	9.36	238.6	c
28	1012	10-Jul-91	25.496	34.856	0.12	1.47	1955.3	2300	1963.4	2309.5	-999	-999	8.1197	8.112	327.8	262.1	3.86	5.84	9.17	242.6	c
29	1043	10-Aug-91	25.957	34.918	0.06	1.14	1960.1	2301.7	1964.7	2307.1	-999	-999	8.1138	8.0992	339.7	266.7	3.83	5.8	9.39	240.7	c
30	1082	18-Sep-91	26.341	35.025	0.06	1.36	1962.15	2305.5	1960.7	2303.9	-999	-999	8.1146	8.0943	344.4	266.3	3.86	5.83	9.43	242	c
31	1115	21-Oct-91	26.705	34.764	0.08	1.39	1944.1	2289.5	1957.3	2305	-999	-999	8.1238	8.0981	338.6	257.9	3.89	5.87	9.2	243.1	c
32	1162	7-Dec-91	25.7	34.917	0.1	1.28	1955.75	2297.5	1960.4	2303	-999	-999	8.1147	8.104	334.7	265.5	3.83	5.79	9.31	240.5	c
33	1191	5-Jan-92	24.214	35.006	0.08	1.6	1967.97	2306	1967.6	2305.6	-999	-999	8.1063	8.1177	324.1	272.9	3.76	5.71	9.36	237.9	c
34	1232	15-Feb-92	23.014	35.066	0.09	1.95	1974.7	2307	1971	2302.7	-999	-999	8.0962	8.1256	317.8	281	3.67	5.6	9.46	233.7	c
35	1252	6-Mar-92	23.834	34.889	0.13	1.16	1960.9	2294	1967.1	2301.3	-999	-999	8.1019	8.119	321.9	275.2	3.69	5.63	9.39	234.2	c
36	1294	17-Apr-92	23.649	35.086	0.09	1.52	1977.5	2306	1972.7	2300.3	8.087	8.107	8.09	8.1099	331.7	285.8	3.64	5.55	9.71	231.4	
37	1347	9-Jun-92	25.698	34.82	0.1	0.95	1957	2306	1967.1	2317.9	8.098	8.087	8.126	8.1152	325.5	258.1	3.91	5.92	9.06	245.7	
38	1373	5-Jul-92	25.429	35.141	0.07	1.23	1976.13	2315	1968.2	2305.7	8.098	8.091	8.1045	8.0977	343	275.1	3.79	5.74	9.6	239	
39	1404	5-Aug-92	26.054	34.939	0.03	0.94	1957.2	2297	1960.6	2301	8.111	8.095	8.1116	8.0956	342.4	267.8	3.81	5.77	9.44	239.4	
40	1453	23-Sep-92	26.312	35.052	0.05	0.72	1967.8	2311	1964.9	2307.6	8.113	8.093	8.1132	8.0933	346.2	268	3.86	5.83	9.48	242.1	
41	1480	20-Oct-92	26.554	35.063	0.04	0.86	1965.85	2307	1962.3	2302.9	-999	-999	8.1105	8.087	351.6	269.6	3.84	5.8	9.57	240.6	c
42	1515	24-Nov-92	25.694	34.77	0.11	1.07	1946.8	2287	1959.7	2302.1	8.11	8.099	8.1159	8.1052	332.3	263.7	3.81	5.77	9.25	239.3	l
43	1537	16-Dec-92	24.845	34.83	0.11	1.15	1955.5	2296	1965	2307.2	8.104	8.106	8.1141	8.1161	324	266	3.8	5.76	9.22	239.5	l
44	1572	20-Jan-93	23.123	35.019	0.05	1.22	1968.78	2307.5	1967.7	2306.2	8.094	8.122	8.1071	8.1349	309.6	272.4	3.74	5.71	9.19	238.1	
45	1600	17-Feb-93	23.666	34.888	0.07	1.39	1960.8	2301.5	1967.1	2308.9	8.095	8.115	8.1128	8.1325	310.8	267.5	3.77	5.75	9.11	239.5	
46	1657	15-Apr-93	23.492	35.061	0.05	1.41	1976.7	2301.5	1973.3	2297.5	8.089	8.111	8.0852	8.1074	333.7	289.4	3.6	5.49	9.81	228.9	
47	1693	21-May-93	23.877	35.065	0.02	1.08	1975.25	2306	1971.6	2301.7	8.097	8.114	8.0941	8.1105	331	282.6	3.67	5.59	9.64	233.1	
48	1759	26-Jul-93	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	k
49	1810	15-Sep-93	26.456	35.278	0.04	0.94	1981.9	2321	1966.3	2302.7	-999	-999	8.1022	8.0802	360.2	277.3	3.82	5.76	9.82	239.6	c
50	1855	30-Oct-93	25.688	35.302	0.04	1.01	1971.8	2311.7	1954.9	2291.9	8.115	8.105	8.1046	8.094	345.4	274.2	3.8	5.75	9.59	239.4	
51	1937	20-Jan-94	22.747	35.173	0.05	1.47	1979.9	2328.7	1970.2	2317.2	-999	-999	8.1173	8.1508	298.3	266.5	3.84	5.86	8.94	245.1	c
52	1965	17-Feb-94	22.766	35.046	0.08	1.79	1974.47	2311	1971.9	2308	-999	-999	8.1026	8.1357	309.5	276.4	3.71	5.67	9.28	236.6	c
53	1985	9-Mar-94	23.525	35.104	0.06	1.82	1981.16	2316.2	1975.3	2309.3	-999	-999	8.0986	8.1204	323.4	280	3.71	5.66	9.5	236	c
54	2087	19-Jun-94	24.85	34.842	0.07	1.22	1960.55	2292	1969.4	2302.4	-999	-999	8.1002	8.1021	336.7	276.4	3.7	5.62	9.57	233.5	c
55	2123	25-Jul-94	25.551	34.902	0.06	1.27	1960.17	2288	1965.7	2294.4	8.104	8.095	8.0943	8.0858	351.4	280.5	3.67	5.57	9.81	231.2	
56	2159	30-Aug-94	26.318	34.904	0.05	1.82	1953.1	2289.8	1958.5	2296.1	8.112	8.092	8.1082	8.0883	348.4	269.6	3.78	5.72	9.55	237.2	
57	2183	23-Sep-94	26.441	34.843	0.07	0.81	1952.88	2289.8	1961.7	2300.1	8.111	8.089	8.1093	8.0875	349.2	268.9	3.79	5.73	9.54	237.4	h
58	2205	15-Oct-94	26.164	34.922	0.06	1.08	1959.55	2295.3	1963.9	2300.5	8.105	8.087	8.1056	8.088	349.7	272.3	3.77	5.71	9.62	236.8	
59	2240	19-Nov-94	25.2	34.985	0.03	1.52	1964.83	2303.5	1965.7	2304.5	8.106	8.103	8.1081	8.1048	335.1	271.2	3.78	5.74	9.44	238.6	
60	2319	6-Feb-95	23.367	34.388	0.16	2.06	1941.78	2257.5	1976.3	2297.7	8.088	8.112	8.0858	8.1099	326.9	284.9	3.51	5.35	9.68	222	
61	2345	4-Mar-95	23.086	34.711	0.11	1.49	1963.2	2286	1979.5	2305	8.085	8.113	8.0888	8.1171	323.6	285.3	3.58	5.46	9.64	227.2	
62	2378	6-Apr-95	23.826	34.493	0.13	1.42	1952.03	2270.3	1980.7	2303.6	8.086	8.103	8.0866	8.1038	333.9	285.6	3.54	5.4	9.76	224.2	
63	2409	7-May-95	23.294	34.773	0.11	1.3	1960.8	2284.5	1973.6	2299.4	8.086	8.111	8.0897	8.1149	325.1	284.1	3.59	5.47	9.62	227.8	
64	2493	30-Jul-95	25.648	34.883	0.08	1.21	1961.23	2295.5	1967.8	2303.2	8.096	8.086	8.1037	8.0937	344.7	274	3.75	5.68	9.6	235.7	
65	2523	29-Aug-95	25.944	34.936	0.06	1.41	1961	2298.5	1964.6	2302.7	8.101	8.087	8.1076	8.0933	345.1	271.1	3.79	5.73	9.54	237.9	
66	2551	26-Sep-95	26.821	34.893	0.07	1.7	1956.5	2299	1962.5	2306	8.102	8.075	8.116	8.0886	349	264.7	3.86	5.83	9.45	241.4	
67	2582	27-Oct-95	26.054	35.037	0.02	0.91	1962.3	2306.5	1960.2	2304.1	8.105	8.089	8.1157	8.0997	339.5	265.5	3.86	5.84	9.36	242.5	
68	2603	17-Nov-95	25.659	34.948	0.07	0.92	1957	2305.5	1959.9	2308.9	8.107	8.097	8.1237	8.1135	326.7	259.5	3.9	5.9	9.1	245.2	
69	2664	17-Jan-96	24.764	34.957	0.1	1.1	1959.4	2294.5	1961.8	2297.3	8.101	8.104	8.1042	8.1074	331.8	273.3	3.73	5.67	9.45	235.8	
70	2734	27-Mar-96	23.186	34.85	0.09	1.09	1969.15	2291.5	1977.6	2301.4	8.087	8.114	8.0855	8.1122	328.5	288.4	3.57	5.45	9.75	227	a
71	2762	24-Apr-96	24.153	34.752	0.11	1.27	1961.31	2288	1975.3	2304.3	8.094	8.106	8.0943	8.1066	332.8	280.9	3.64	5.54	9.64	230.1	a
72	2790	22-May-96	25.172	34.845	0.1	1.48	1964.9	2295	1973.6	2305.2	8.093	8.09	8.0975	8.0946	344.3	279	3.7	5.61	9.71	232.8	
73	2825	26-Jun-96	26.327	34.473	0.12	1.71	1937.9	2270.5	1967.5	2305.2	8.098	8.078	8.1103	8.0902	344.8	266.8	3.75	5.67	9.47	234.2	
74	2856	27-Jul-96	26.293	34.589	0.08	1.21	1944	2277	1967.1	2304.1	8.104	8.084	8.1085	8.0889	346.8	268.7	3.75	5.67	9.53	234.7	
75	2881	21-Aug-96	26.953	34.732	0.09	1.86	1946.25	2283.5	1961.3	2301.1	8.107	8.078	8.1123	8.0829	352.7	266.1	3.81	5.75	9.52	237.6	
76	2923	2-Oct-96	27.277	34.866	0.05	1.24	1950	2292.7	1957.5	2301.5	8.118	8.084	8.1177	8.0836	352.7	262.7	3.87	5.83	9.44	241.5	
77	2951	30-Oct-96	26.516	35.035	0.06	1.56	1960.57	2304.3	1958.6	2302	8.114	8.091	8.1153	8.0924	345.8	265.5	3.87	5.84	9.42	242.2	
78	2993	11-Dec-96	24.235	34.97	0.04	1.87	1966.9	2293.3	1968.6	2295.3	8.102	8.113	8.0903	8.1014	337.8	284.3	3.63	5.52	9.75	230	
79	3021	8-Jan-97	23.48	34.944	0.08	1.68	1970.1	2295	1973.3	2298.7	8.093	8.115	8.0878	8.1102	330.4	286.6	3.6	5.49	9.72	228.8	
80	3062	18-Feb-97	23.894	34.929	0.08	1.64	1975.07	2288	1979.1	2292.7	8.072	8.088	8.0695	8.0856	353	301.3	3.49	5.31	10.28	221	
81	3084	12-Mar-97	23.117	35.033	0.06	1.72	1976.53	2301.7	1974.7	2299.5	8.064	8.092	8.086	8.1138	328	288.8	3.6	5.49	9.74	229	
82	3112	9-Apr-97	23.432	34.962	0.07	1.68	1972.23	2300.7	1974.4	2303.2	8.065	8.088	8.0924	8.1155	326.2	283.5	3.64	5.55	9.61	231.3	
83	3140	7-May-97	24.695	34.875	0.1	1.41	1964.5	2294.3	1971.5	2302.6	8.096	8.1	8.0968	8.101	338.2	279.4	3.68	5.59	9.65	232.4	
84	3168	4-Jun-97	25.249	34.885	0.07	0.91	1958.07	2296.3	1964.5	2303.9	8.105	8.101	8.1099	8.1058	333.3	269.2	3.78	5.73	9.38	238.2	
85	3203	9-Jul-97	25.525	35.05	0.04	1.58	1972.8	2305.7	1970	2302.4	8.099	8.091	8.0976	8.0895	350	279.7	3.73	5.65	9.77	234.9	
86	3227	2-Aug-97	25.874	35.115	0.06	1.08	1975.3	2312.3	1968.8	2304.8	8.099	8.086	8.1024	8.089	351	276.5	3.78	5.72	9.71	237.9	
87	3281	25-Sep-97	26.8	35.224	0.04	1.15	1976.2	2318	1963.6	2303.3	8.107	8.08	8.1076	8.0805	359.2	272.8	3.85	5.81	9.71	241.4	
88	3352	5-Dec-97	24.451	35.152	0.06	1.64	1975.6	2311.7	1967.1	2301.7	8.099	8.107	8.1004	8.1083	333.2	277.9	3.74	5.68	9.55	236.8	
89	3389	11-Jan-98	23.509	35.144	0.07	1.34	1982.1	2310	1974	2300.5	8.089	8.111	8.0877	8.1097	332.5	288.1	3.63	5.54	9.77	231.1	
90	3428	19-Feb-98	22.859	35.243	0.09	1.22	1990.97	2316.7	1977.2	2300.7	8.085	8.117	8.0818	8.1135	330.1	293.7	3.6	5.49	9.86	229.6	
91	3455	18-Mar-98	24.462	35.166	0.1	1.34	1979.9	2314	1970.6	2303.1	8.093	8.101	8.0967	8.1044	337.2	281.2	3.72	5.65	9.67	235.5	m
92	3483	15-Apr-98	23.302	35.214	0.07	1.57	1991.35	2317.5	1979.2	2303.4	8.084	8.109	8.0828	8.1078	335.4	293.1	3.61	5.51	9.9	230.1	
93	3511	13-May-98	23.044	35.288	0.08	1.28	1995.35	2318	1979.1	2299.1	8.082	8.111	8.0761	8.105	338.1	298.6	3.57	5.44	10.05	227.7	
94	3546	17-Jun-98	24.18	35.287	0.09	1.51	1994.8	2321.3	1978.6	2302.5	8.084	8.096	8.0819	8.0937	348.7	294.2	3.64	5.53	10.06	230.7	
95	3574	15-Jul-98	24.288	35.381	0.05	1.15	2000.1	2320	1978.6	2295	-999	-999	8.0702	8.0805	361.6	303.8	3.57	5.42	10.4	226.3	c
96	3600	10-Aug-98	25.293	35.169	0.09	1.1	1983.55	2311	1974	2299.9	-999	-999	8.0865	8.0818	358.5	289.2	3.67	5.56	10.06	231.4	c
97	3649	28-Sep-98	25.495	35.292	0.08	1.32	1992.9	2320.5	1976.4	2301.3	-999	-999	8.0837	8.076	365.5	292.5	3.67	5.56	10.2	231.8	c
98	3670	19-Oct-98	25.687	35.354	0.07	1.37	1986.83	2320.3	1966.9	2297.1	-999	-999	8.0924	8.0818	359	285	3.74	5.65	9.97	235.6	c
99	3693	11-Nov-98	25.222	35.446	0.05	1.12	1996.63	2327.7	1971.5	2298.4	-999	-999	8.0862	8.0825	359.6	290.9	3.7	5.61	10.1	234	c
100	3721	9-Dec-98	23.742	35.3	0.08	1.18	1996.63	2319.7	1979.7	2300	-999	-999	8.0763	8.0948	347.8	298.6	3.59	5.46	10.15	228.2	c
101	3756	13-Jan-99	23.462	35.248	0.12	1.5	1998.53	2315	1984.5	2298.7	-999	-999	8.0669	8.0895	352.7	306.3	3.52	5.35	10.37	223.7	c
102	3792	18-Feb-99	23.108	35.36	0.12	1.65	2006.4	2328	1986	2304.3	-999	-999	8.0718	8.0997	344.5	303.5	3.56	5.43	10.22	227.3	c
103	3819	17-Mar-99	23.337	35.176	0.09	1.32	1984.87	2329.3	1974.9	2317.7	-999	-999	8.1104	8.135	311.8	272	3.81	5.81	9.2	242.5	c
104	3847	14-Apr-99	22.615	35.348	0.13	1.66	2002.53	2334.5	1982.8	2311.5	-999	-999	8.0876	8.123	323.7	290.9	3.66	5.59	9.72	234.1	c
105	3873	10-May-99	23.666	35.369	0.09	1.51	2008.23	2336	1987.3	2311.6	-999	-999	8.0805	8.1	345	297.1	3.64	5.54	10.08	231.8	c
106	3938	14-Jul-99	25.066	34.947	0.11	1.52	1971.4	2301.5	1974.4	2305	-999	-999	8.0951	8.0938	345.9	281.5	3.69	5.6	9.78	232.9	c
107	3968	13-Aug-99	25.406	35.283	0.07	1.84	1992.47	2319	1976.5	2300.4	-999	-999	8.0823	8.0759	365.4	293.5	3.66	5.54	10.22	231	c
108	4031	15-Oct-99	25.745	35.123	0.09	1.27	1981.45	2305.5	1974.5	2297.4	-999	-999	8.0825	8.0711	368.5	292	3.64	5.51	10.23	229.2	c
109	4056	9-Nov-99	25.364	35.326	0.05	1.27	1994.5	2325.7	1976.1	2304.2	-999	-999	8.0882	8.0824	359.7	289.3	3.71	5.62	10.07	234.2	c
110	4092	15-Dec-99	24.126	35.207	0.11	1.27	1993.9	2311	1982.2	2297.4	-999	-999	8.0692	8.0818	359.5	303.9	3.53	5.37	10.39	224.3	c
111	4142	3-Feb-00	22.971	35.375	0.11	1.38	2001.35	2319	1980.1	2294.4	-999	-999	8.0667	8.0966	346.3	306.8	3.51	5.36	10.3	224.3	c
112	4169	1-Mar-00	23.463	35.19	0.12	1.31	1994.55	2313.5	1983.8	2301	-999	-999	8.072	8.0946	347.6	301.9	3.54	5.4	10.22	225.3	c
113	4197	29-Mar-00	23.447	35.368	0.09	1.19	2000.35	2321	1979.5	2296.9	-999	-999	8.0714	8.0942	348.6	302.9	3.56	5.42	10.25	226.5	c
114	4225	26-Apr-00	23.846	34.914	0.1	2.05	1980.85	2299.5	1985.7	2305.2	-999	-999	8.0772	8.0941	346.5	296.2	3.55	5.4	10.1	225.1	c
115	4254	25-May-00	24.783	34.952	0.1	1.58	1980.4	2291	1983.1	2294.1	-999	-999	8.0648	8.0677	371.1	305.7	3.48	5.28	10.56	219.8	c
116	4281	21-Jun-00	25.408	35.191	0.08	0.97	1989.2	2319.5	1978.4	2306.9	-999	-999	8.0895	8.0831	358.4	287.8	3.7	5.61	10.03	233.6	c
117	4316	26-Jul-00	25.851	35.309	0.05	0.78	1986.95	2325.5	1969.6	2305.1	-999	-999	8.1002	8.0872	354.3	279.4	3.8	5.74	9.8	239.2	c
118	4344	23-Aug-00	25.928	35.453	0.06	1.31	1992.35	2330.5	1966.9	2300.7	-999	-999	8.0969	8.0827	359.1	282.4	3.79	5.73	9.91	239	c
119	4400	18-Oct-00	25.739	35.348	0.08	1.54	1992.15	2317	1972.5	2294.2	-999	-999	8.0791	8.0678	373.2	295.8	3.65	5.52	10.35	229.9	c
120	4443	30-Nov-00	24.906	35.028	0.11	1.54	1980	2311	1978.4	2309.2	-999	-999	8.094	8.095	346	283.4	3.7	5.62	9.81	233.7	c
121	4463	20-Dec-00	24.749	34.933	0.12	1.74	1973.6	2299.5	1977.4	2303.9	-999	-999	8.0888	8.0922	347.5	286.4	3.64	5.53	9.9	230	c
122	4491	17-Jan-01	24.403	35.08	0.12	1.6	1983.75	2309	1979.2	2303.7	-999	-999	8.0843	8.0929	348.1	291	3.63	5.51	10	229.7	c
123	4519	14-Feb-01	23.354	35.313	0.07	1.59	1999.45	2314.5	1981.7	2294	-999	-999	8.064	8.0881	353.9	308.7	3.5	5.33	10.43	222.7	c
124	4554	21-Mar-01	23.693	35.041	0.1	1.87	1984.1	2299.5	1981.8	2296.8	-999	-999	8.0703	8.0894	350.8	301.9	3.51	5.34	10.26	222.8	c
125	4582	18-Apr-01	23.565	35.142	0.1	1.59	1990.4	2309	1982.4	2299.7	-999	-999	8.0728	8.0938	347.7	300.7	3.54	5.39	10.2	225	c
126	4610	16-May-01	23.788	35.237	0.09	1.59	1995.15	2318	1981.7	2302.4	-999	-999	8.0771	8.0948	347.7	298	3.59	5.46	10.14	228.1	c
127	4639	14-Jun-01	24.926	35.246	0.04	1.52	1988.6	2325	1974.7	2308.8	-999	-999	8.0976	8.0984	344.1	281.6	3.76	5.7	9.74	237.6	c
128	4666	11-Jul-01	25.967	35.111	0.04	1.35	1973.6	2309	1967.4	2301.7	-999	-999	8.1004	8.0857	353.8	277.7	3.77	5.7	9.77	236.8	c
129	4694	8-Aug-01	25.73	35.23	0.03	1.52	1985.6	2314	1972.6	2298.9	-999	-999	8.0869	8.0757	364.7	289.1	3.69	5.58	10.12	232.2	c
130	4749	2-Oct-01	26.165	35.359	0.02	1.39	1986.25	2315	1966.1	2291.5	-999	-999	8.0857	8.068	372.1	289.9	3.7	5.58	10.21	232.5	c
131	4770	23-Oct-01	25.464	35.41	0.04	1.11	1993.9	2331	1970.8	2304	-999	-999	8.0957	8.0885	353.9	283.5	3.77	5.71	9.88	238.2	c
132	4795	17-Nov-01	25.215	35.24	0.03	1.23	1982.65	2309.5	1969.1	2293.8	-999	-999	8.085	8.0814	358.5	290.1	3.66	5.54	10.08	230.9	c
133	4822	14-Dec-01	24.397	35.218	0.01	1.25	1990.75	2317.5	1978.4	2303.2	-999	-999	8.0838	8.0925	349.4	292.2	3.64	5.54	10.03	230.9	c
134	4855	16-Jan-02	23.693	35.302	0.03	1.22	1998.05	2321.5	1981	2301.6	-999	-999	8.0768	8.0959	347	298.5	3.59	5.47	10.14	228.6	c
135	4891	21-Feb-02	22.994	35.26	0.03	1.38	1997.4	2321.5	1982.7	2304.4	-999	-999	8.0783	8.108	335.9	297.3	3.59	5.47	10	228.8	c
136	4911	13-Mar-02	22.867	35.352	0.03	1.29	2007	2332	1987	2308.8	-999	-999	8.077	8.1085	336.8	299.6	3.6	5.49	10.05	229.6	c
137	4980	21-May-02	24.71	34.919	0.03	1.12	1978.3	2296.5	1982.9	2301.8	-999	-999	8.0771	8.0811	358.4	295.9	3.56	5.41	10.22	225	c
138	5019	29-Jun-02	25.667	34.913	0.02	0.84	1971.3	2291.5	1976.2	2297.2	-999	-999	8.0813	8.071	367.1	291.7	3.6	5.45	10.22	226.4	c
139	5079	28-Aug-02	26.328	34.959	0.06	1.07	1970.05	2297	1972.4	2299.7	-999	-999	8.0907	8.0706	367.5	284.5	3.69	5.57	10.07	231.1	c
140	5119	7-Oct-02	26.392	35.067	0.04	1.04	1967.85	2307	1964.1	2302.6	-999	-999	8.1072	8.0862	352.6	272.1	3.82	5.76	9.64	239.3	c
141	5147	4-Nov-02	25.977	35.181	0.02	1.04	1974	2311.5	1963.8	2299.6	-999	-999	8.1025	8.0876	351.9	276.2	3.79	5.73	9.71	238.2	c
142	5168	25-Nov-02	25.341	35.259	0.02	1.03	1981.1	2313.5	1966.5	2296.5	-999	-999	8.093	8.0876	352.6	283.9	3.72	5.63	9.88	234.7	c
143	5192	19-Dec-02	24.455	35.319	0.02	0.98	1986.4	2315	1968.5	2294.1	-999	-999	8.0859	8.0937	347.4	289.8	3.66	5.56	9.95	231.9	c
144	5221	17-Jan-03	23.687	35.344	0.02	1.03	1995.1	2323	1975.7	2300.4	-999	-999	8.0832	8.1025	340.6	293.1	3.64	5.54	9.95	231.5	c
145	5261	26-Feb-03	23.348	35.323	0.01	1.05	1997.05	2322.5	1978.8	2301.3	-999	-999	8.0796	8.104	339.5	296.1	3.61	5.5	10.01	229.8	c
146	5292	29-Mar-03	23.574	35.317	0.04	1.07	1997.75	2324	1979.8	2303.1	-999	-999	8.0807	8.1016	341.8	295.4	3.62	5.51	10.02	230.4	c
147	5318	24-Apr-03	24.679	35.037	0.03	1.04	1973.7	2302.5	1971.6	2300.1	-999	-999	8.0919	8.0963	343.6	284	3.67	5.57	9.8	232	c
